Input X^n%m                 Result         O(n) sec     O(log n) sec 
810418^858855 % 786853      472353         0.01967826    0.00000452
140750^668909 % 111415      83870          0.01523274    0.00000410
160285^163844 % 783245      633020         0.00367456    0.00000246
868022^151071 % 231329      67467          0.00350255    0.00000369
949125^328158 % 248452      109945         0.00781999    0.00000328
942153^986951 % 285643      123425         0.02154859    0.00000369
796851^534049 % 750304      306803         0.01219941    0.00000410
580748^739305 % 963910      631878         0.01802058    0.00000410
842361^583235 % 503097      434004         0.01343508    0.00000452
164905^837542 % 309294      48973          0.01976529    0.00000410
68822^781313 % 406426       9444           0.01876567    0.00000493
62823^545049 % 436560       205623         0.01327867    0.00000328
166985^203751 % 118719      74330          0.00481457    0.00003161
86839^386510 % 832288       571889         0.00855523    0.00000410
603669^654241 % 932312      84709          0.01509850    0.00000370
813392^73111 % 190230       68498          0.00159241    0.00000164
345463^290092 % 926003      736438         0.00688770    0.00000370
157081^148160 % 109356      60121          0.00368482    0.00000329
376098^720018 % 439748      430400         0.01627875    0.00000369
692343^883236 % 434687      271373         0.02035110    0.00000410
186355^750334 % 788712      757825         0.01764454    0.00000370
761638^271541 % 339549      93154          0.00586674    0.00000287
255886^455069 % 740645      301891         0.01017966    0.00000411
678260^97139 % 958958       905300         0.00235515    0.00000370
696420^334767 % 214401      118260         0.00745011    0.00000287
450805^922662 % 534161      14950          0.01935723    0.00000205
642764^967758 % 906774      753952         0.02072139    0.00000205
527619^553266 % 808989      125757         0.01171582    0.00000205
212037^948093 % 750477      684432         0.01961791    0.00000205
915171^325443 % 192419      74694          0.00698663    0.00000164
126586^876661 % 921514      291498         0.01814825    0.00000205
589516^199483 % 289897      70125          0.00412038    0.00000164
401559^713720 % 498000      204801         0.01506114    0.00000287
918414^486006 % 194135      141951         0.01031348    0.00000205
634452^607487 % 500350      331728         0.01292398    0.00000205
118560^779401 % 414713      334932         0.01627957    0.00000205
346974^990929 % 716429      597187         0.02101614    0.00000246
895677^472018 % 733108      290857         0.01019936    0.00000370
709803^485958 % 138099      103845         0.01075767    0.00000287
533343^973788 % 271908      190737         0.02168077    0.00000493
368593^126855 % 178397      120131         0.00299023    0.00000205
434689^736799 % 350503      295407         0.01631200    0.00000246
346661^628501 % 282716      56301          0.01396218    0.00000328
798986^596710 % 995453      923895         0.01258078    0.00000205
539506^220115 % 746561      249591         0.00468690    0.00000205
114079^408201 % 903401      731118         0.00878471    0.00000205
952531^407476 % 835302      805429         0.00884259    0.00000205
245815^137434 % 328928      312177         0.00294630    0.00000164
907591^308163 % 139616      57975          0.00667464    0.00000164
99789^229548 % 105863       33681          0.00495456    0.00000205
246242^853526 % 959574      617038         0.01830302    0.00000205
804519^407100 % 621134      569879         0.00865909    0.00000205
934035^751210 % 997803      655587         0.01605789    0.00000205
480459^849329 % 242101      138675         0.01787402    0.00000205
404901^536127 % 571682      281423         0.01112919    0.00000164
442320^965205 % 880236      271188         0.02021809    0.00000205
101465^513915 % 686654      581293         0.01085742    0.00000205
331718^892725 % 634172      551132         0.01898859    0.00000287
239238^471473 % 774709      504763         0.00983071    0.00000164
59469^408092 % 280586       97543          0.00836721    0.00000164
723952^504434 % 906490      636544         0.01079051    0.00000205
721505^711343 % 457793      391525         0.01486656    0.00000205
219840^483620 % 325179      192483         0.01000354    0.00000205
967044^997624 % 470414      265658         0.02152970    0.00000287
708783^758022 % 711617      561893         0.01633663    0.00000205
755580^102947 % 52073       40012          0.00210843    0.00000123
130136^289766 % 822036      329452         0.00624934    0.00000164
999148^735249 % 291731      147903         0.01544375    0.00000164
600538^698400 % 959478      10102          0.01495277    0.00000205
318896^422222 % 986767      447116         0.00883438    0.00000164
880515^68149 % 355984       180099         0.00144790    0.00000164
564570^85170 % 484712       438632         0.00175661    0.00000164
965047^668060 % 228430      134621         0.01407918    0.00000205
873588^817774 % 718118      418738         0.01736991    0.00000205
707545^507172 % 212896      185697         0.01054912    0.00000205
469984^405975 % 745913      228166         0.00828347    0.00000164
54298^212763 % 565883       38269          0.00464380    0.00000164
901988^586720 % 334037      37566          0.01212141    0.00000164
748160^245891 % 463097      425768         0.00528052    0.00000164
591665^108795 % 852875      793250         0.00229604    0.00000164
821699^246166 % 885731      44034          0.00522468    0.00000246
88592^506832 % 757154       199708         0.01060331    0.00000205
756456^269392 % 773063      200206         0.00576944    0.00000164
787655^178668 % 688716      543565         0.00371767    0.00000164
109463^746717 % 95900       62883          0.01583539    0.00000246
160422^772171 % 404403      318036         0.01599754    0.00000205
869899^974915 % 492267      233008         0.02079241    0.00000205
576401^374621 % 204669      115256         0.00765660    0.00000164
367052^800480 % 926596      175396         0.01723977    0.00000205
252183^860725 % 824684      153959         0.01778740    0.00000205
811773^957389 % 121572      52857          0.02037778    0.00000246
807244^274233 % 956886      739012         0.00591682    0.00000164
918185^400745 % 82996       37973          0.00864513    0.00000205
561229^104913 % 598969      561254         0.00224718    0.00000164
623143^972976 % 751981      180            0.02062533    0.00000205
64008^826446 % 848151       814455         0.01742533    0.00000205
629190^922155 % 880901      713455         0.01956085    0.00000205
192738^636556 % 374477      48947          0.01369494    0.00000287
661434^534941 % 613417      160456         0.01109306    0.00000164
936474^397813 % 648644      641416         0.00829989    0.00000205
854119^155742 % 177085      24881          0.00320616    0.00000164
522926^80799 % 691301       407031         0.00165522    0.00000164
93875^933234 % 626487       531517         0.01947587    0.00000205
582416^894978 % 156512      16544          0.01857396    0.00000205
649230^456150 % 850466      659406         0.00974902    0.00000205
496388^193919 % 554500      110552         0.00392908    0.00000164
133658^690429 % 112140      62468          0.01495975    0.00000328
259400^733118 % 846338      451520         0.01580747    0.00000246
216649^93552 % 459272       371145         0.00199841    0.00000164
991338^650312 % 415954      369198         0.01363705    0.00000164
542112^483856 % 875110      762346         0.01028803    0.00000205
605177^871155 % 580459      120231         0.01862528    0.00000246
240192^172023 % 697239      43146          0.00369180    0.00000164
269257^873453 % 145325      83482          0.01868193    0.00000246
982288^353991 % 119967      38203          0.00765783    0.00000205
658125^621865 % 219057      63132          0.01346135    0.00000246
486035^281146 % 628818      626941         0.00581460    0.00000164
622809^510248 % 662838      610929         0.01072442    0.00000164
566195^212442 % 215564      89549          0.00471318    0.00000246
189009^353803 % 963809      315163         0.00741193    0.00000164
817020^390862 % 809221      338836         0.00823790    0.00000205
176514^513073 % 238644      83736          0.01073139    0.00000164
133798^96772 % 567419       393113         0.00209283    0.00000123
451467^891077 % 931363      19616          0.01875131    0.00000164
354342^728992 % 251097      13806          0.01561411    0.00000246
74454^777287 % 723910       119314         0.01661496    0.00000205
507271^108266 % 422276      114125         0.00237568    0.00000164
836526^467332 % 338864      105680         0.00981101    0.00000205
53790^446177 % 389062       204172         0.00945427    0.00000205
982455^314776 % 877702      68875          0.00665370    0.00000164
913813^360694 % 791093      174761         0.00761678    0.00000164
524479^437009 % 461177      441604         0.00943169    0.00000205
732962^180682 % 227663      124284         0.00389747    0.00000164
756498^858304 % 335671      129270         0.01808873    0.00000205
724346^195291 % 131939      73294          0.00407071    0.00000164
646008^906316 % 58203       30528          0.01927882    0.00000246
546852^216775 % 797370      159108         0.00466186    0.00000164
596785^667786 % 974944      141633         0.01418017    0.00000205
852679^755110 % 616022      410675         0.01600329    0.00000246
734093^936018 % 966972      920341         0.01957070    0.00000205
855469^336287 % 879524      212257         0.00697637    0.00000205
104774^163088 % 151984      110688         0.00339377    0.00000164
182923^864184 % 136793      90380          0.01777304    0.00000205
385392^155203 % 843824      730000         0.00328211    0.00000164
61772^548368 % 542767       63187          0.01146171    0.00000205
125907^355797 % 128965      88742          0.00743492    0.00000205
836785^384431 % 202690      64535          0.00798994    0.00000205
433473^915157 % 662844      506637         0.01878415    0.00000205
366797^984775 % 589920      149093         0.02060973    0.00000246
535357^170773 % 91285       42622          0.00352759    0.00000164
504933^756985 % 107895      28788          0.01594828    0.00000246
185386^529817 % 668243      658081         0.01098058    0.00000164
463831^780068 % 559956      101521         0.01621840    0.00000246
647148^457853 % 86303       84122          0.00945263    0.00000205
297774^365654 % 911120      634096         0.00788116    0.00000205
800157^350591 % 831797      390626         0.00736924    0.00000164
959952^657995 % 875251      562859         0.01403403    0.00000205
887098^343736 % 67847       22662          0.00719436    0.00000205
279004^82719 % 61954        19794          0.00171638    0.00000164
485895^818894 % 151327      107562         0.01739618    0.00000246
189481^482075 % 266081      150274         0.01031513    0.00000164
68570^325683 % 854974       501424         0.00695872    0.00000164
538760^940629 % 411528      271064         0.01974271    0.00000205
427633^984248 % 179515      14611          0.02073494    0.00000205
398351^303367 % 152551      19252          0.00633227    0.00000164
75534^216138 % 252720       104976         0.00440816    0.00000164
695823^688690 % 854249      224302         0.01453281    0.00000164
458505^68012 % 124101       91593          0.00149634    0.00000164
614219^276759 % 589677      379325         0.00582938    0.00000164
699142^374910 % 734868      434044         0.00787623    0.00000205
153915^876041 % 238056      14139          0.01869958    0.00000246
152337^270603 % 98990       19873          0.00580064    0.00000164
115184^371729 % 843527      713188         0.00779084    0.00000205
392585^185871 % 705571      400253         0.00397096    0.00000164
620268^79801 % 105638       53000          0.00164126    0.00000164
161624^910181 % 782096      421072         0.01910394    0.00000985
637115^668784 % 544042      524781         0.01397286    0.00000164
692442^67471 % 216763       200695         0.00139413    0.00000164
537959^92951 % 117735       86264          0.00188757    0.00000123
857604^537474 % 372888      86040          0.01148347    0.00000164
399453^406312 % 927607      320317         0.00832082    0.00000164
484284^888720 % 717515      279616         0.01876075    0.00000164
649309^824330 % 314211      13921          0.01711867    0.00000205
178714^156362 % 989031      804982         0.00337570    0.00000205
809217^429580 % 695677      481649         0.00892470    0.00000164
291722^211588 % 915882      58             0.00431620    0.00000164
218581^852426 % 975534      523573         0.01754356    0.00000164
151284^893195 % 593599      579752         0.01892496    0.00000246
435185^266784 % 800341      192911         0.00573332    0.00000205
898625^100721 % 140917      117411         0.00216795    0.00000123
65812^340726 % 810645       168829         0.00728180    0.00000164
657576^141234 % 909202      467202         0.00306165    0.00000164
886427^691582 % 642505      545484         0.01454266    0.00000205
431894^416122 % 127007      83177          0.00881632    0.00000205
744867^593426 % 762783      529083         0.01234063    0.00000164
693967^849893 % 234847      187660         0.01777961    0.00000246
489720^949863 % 273598      37452          0.01989748    0.00001108
181345^346643 % 525215      276330         0.00731874    0.00000164
196694^162631 % 246322      13098          0.00337981    0.00000164
812563^635820 % 814296      379177         0.01306520    0.00000205
191277^231809 % 271348      269637         0.00485440    0.00000164
872954^999262 % 717402      402250         0.02085563    0.00000205
537791^255964 % 351075      25036          0.00538561    0.00000205
333770^869057 % 651074      618752         0.01854974    0.00000246
536862^929960 % 113276      105892         0.01994304    0.00000205
384175^439115 % 606584      203863         0.00924531    0.00000205
283719^359867 % 816014      681487         0.00753468    0.00000287
862739^116623 % 911455      411879         0.00246763    0.00000164
831507^520359 % 746105      322523         0.01074946    0.00000164
697329^632288 % 727453      560182         0.01345437    0.00000205
65135^872341 % 758498       660041         0.01828865    0.00000205
310641^638276 % 875618      45385          0.01349871    0.00000205
973350^491473 % 732679      365827         0.01033032    0.00000205
635440^57631 % 131496       49168          0.00123977    0.00000164
146189^488689 % 487940      218009         0.01020018    0.00000164
96338^694020 % 418006       168200         0.01477542    0.00000205
536511^305559 % 568236      347247         0.00648621    0.00000164
458656^201109 % 948749      154843         0.00420085    0.00000164
726584^381849 % 248136      95528          0.00790579    0.00000205
228091^212133 % 818891      238852         0.00455841    0.00000164
785613^441100 % 368286      183291         0.00936395    0.00000205
687629^207438 % 488371      274208         0.00437368    0.00000205
851149^979546 % 552598      250969         0.02065365    0.00000246
278084^653270 % 291059      273766         0.01386202    0.00000246
127611^594126 % 779911      366135         0.01236896    0.00000205
510596^123748 % 570261      36097          0.00253373    0.00000164
829688^148526 % 715261      120554         0.00310969    0.00000205
767450^879195 % 823117      317428         0.01851977    0.00000328
64517^226982 % 905016       196921         0.00484988    0.00000164
283448^983505 % 377669      297515         0.02084824    0.00000246
301043^540472 % 626958      589867         0.01121827    0.00000246
945474^726136 % 736643      555312         0.01529145    0.00000205
775973^409461 % 397700      146773         0.00844849    0.00000164
618227^505370 % 382073      90613          0.01081760    0.00000205
793004^634017 % 55406       46890          0.01327169    0.00000205
850442^273685 % 848590      487732         0.00568734    0.00000164
645909^487232 % 876970      341241         0.01032170    0.00000164
442865^733065 % 928576      225457         0.01574507    0.00000205
134842^652987 % 855769      335285         0.01397819    0.00000205
175914^877422 % 937166      869784         0.01831903    0.00000205
876024^93531 % 620477       60627          0.00200416    0.00000123
574428^813363 % 694288      278944         0.01698894    0.00000205
578783^503922 % 274234      37165          0.01061973    0.00000205
264200^471004 % 492507      157747         0.00992103    0.00000205
497166^258600 % 142967      110331         0.00539997    0.00000164
396113^919316 % 559154      370637         0.01922012    0.00000329
615768^683854 % 962262      461574         0.01425612    0.00000164
335883^62667 % 65173        996            0.00129150    0.00000164
398118^667493 % 577864      107800         0.01405907    0.00000328
198549^523407 % 87828       66729          0.01110784    0.00000205
385514^404227 % 133355      27279          0.00846984    0.00000205
377938^96822 % 450335       6794           0.00195900    0.00000164
226211^592347 % 51625       19221          0.01237429    0.00000205
843453^863159 % 412461      97353          0.01832806    0.00000287
747760^417186 % 413136      262144         0.00863939    0.00000164
354080^756631 % 890931      386429         0.01589902    0.00000205
466856^572015 % 563977      247258         0.01177945    0.00000205
942932^247034 % 799683      446815         0.00513150    0.00000164
938325^346518 % 101361      25050          0.00733188    0.00000246
517054^197974 % 723117      139678         0.00435315    0.00000205
86760^927981 % 214353       180684         0.01948696    0.00000246
492683^789010 % 336280      82329          0.01659115    0.00000205
701993^839219 % 364324      39445          0.01785145    0.00000205
138843^879567 % 661033      491150         0.01839990    0.00000205
861747^72704 % 808979       689197         0.00150209    0.00000123
692759^404795 % 158348      22879          0.00852485    0.00000205
99005^825145 % 289498       252209         0.01715808    0.00000205
715807^379939 % 452736      140383         0.00813937    0.00000164
280105^410183 % 254458      58641          0.00847805    0.00000246
496097^686113 % 728136      76841          0.01447328    0.00000205
874182^55157 % 162496       105088         0.00112852    0.00000123
775334^174247 % 91341       25967          0.00364295    0.00000164
787336^635763 % 796718      466998         0.01323433    0.00000205
445502^971509 % 736134      420512         0.02028254    0.00000205
623370^282395 % 364240      255040         0.00604942    0.00000205
309649^326222 % 252132      75757          0.00678178    0.00000164
928305^398151 % 440631      219069         0.00851213    0.00000205
228733^222798 % 139720      48889          0.00479241    0.00000205
428282^462809 % 269937      16424          0.00962627    0.00000164
980250^746165 % 591909      47625          0.01559893    0.00000205
527158^747980 % 100762      40138          0.01575985    0.00000205
678808^806729 % 680806      191032         0.01702056    0.00000164
947831^618500 % 557306      251431         0.01300280    0.00000164
592898^598570 % 930713      909386         0.01271051    0.00000164
200621^672182 % 696936      201697         0.01429881    0.00000205
66747^791846 % 399958       273623         0.01688755    0.00000205
482197^258015 % 646377      522445         0.00543364    0.00000329
504637^323200 % 142268      40649          0.00670748    0.00000164
984850^975756 % 331145      321020         0.02058510    0.00000370
296341^891732 % 498816      121969         0.01904113    0.00000205
813886^989388 % 484442      218604         0.02058633    0.00000164
964071^852620 % 646518      303105         0.01823282    0.00000205
759708^258185 % 973300      300868         0.00539259    0.00000164
634220^465794 % 112976      40880          0.00992554    0.00000164
193149^653800 % 300413      58029          0.01398517    0.00000246
979050^73937 % 879424       248896         0.00159569    0.00000123
140511^852437 % 382467      220266         0.01788142    0.00000205
193912^400934 % 639684      485032         0.00854538    0.00000164
271129^86976 % 259836       145333         0.00177385    0.00000123
340076^158445 % 899828      505364         0.00334122    0.00000164
366182^898686 % 340006      71464          0.01884901    0.00000246
795624^430100 % 568474      301508         0.00957291    0.00000205
233254^791749 % 159355      74879          0.01671718    0.00000205
740365^511435 % 275444      240953         0.01061111    0.00000205
232986^540834 % 208322      207946         0.01147690    0.00000164
737384^244716 % 685873      667206         0.00501532    0.00000164
449560^419100 % 251561      186115         0.00888939    0.00000205
807339^933992 % 824402      304031         0.01988024    0.00000205
857431^491499 % 74753       67467          0.01059839    0.00000205
233843^794366 % 276565      3459           0.01687893    0.00000246
627095^420377 % 703458      577787         0.00903923    0.00000164
968355^537822 % 881260      790805         0.01163536    0.00000205
761755^524929 % 74889       51466          0.01110579    0.00000164
919651^667977 % 707667      661120         0.01388460    0.00000164
787103^997721 % 652845      400793         0.02093979    0.00000246
343888^654973 % 444772      136456         0.01366948    0.00000205
53044^996786 % 856035       261901         0.02072919    0.00000205
814685^798106 % 607698      399361         0.01693352    0.00000246
293975^117615 % 962993      277706         0.00251402    0.00000164
222108^274211 % 899657      842904         0.00574153    0.00000164
564451^417984 % 662628      4033           0.00860203    0.00000164
569987^262235 % 324096      118331         0.00544144    0.00000164
961898^688260 % 669448      38416          0.01445193    0.00000205
300562^653705 % 480275      464007         0.01384313    0.00000287
960862^712876 % 294831      187123         0.01520113    0.00000205
382821^220972 % 637856      224785         0.00452393    0.00000164
113301^120132 % 577969      158880         0.00263923    0.00000164
724998^440219 % 182607      165867         0.00937996    0.00000205
467658^193937 % 168042      41304          0.00419674    0.00000246
331191^956506 % 514406      130489         0.02035726    0.00000205
978827^117627 % 148330      76383          0.00255466    0.00000164
989341^607009 % 280250      210911         0.01299910    0.00000246
806438^824970 % 544959      200134         0.01700290    0.00000205
69515^59656 % 650366        643203         0.00120980    0.00000123
586406^518668 % 636104      341840         0.01130612    0.00000205
476152^428873 % 809912      94744          0.00899243    0.00000164
615309^313351 % 178689      45537          0.00673581    0.00000164
63889^354724 % 285414       72337          0.00750635    0.00000205
650811^761835 % 111623      81798          0.01620526    0.00000246
289107^828705 % 903464      563147         0.01727877    0.00000246
100551^591915 % 605793      4428           0.01245640    0.00000205
884969^251326 % 384689      334218         0.00545006    0.00000164
876067^612636 % 331775      92906          0.01316454    0.00000205
555034^963688 % 181268      26188          0.02006743    0.00000205
537662^622121 % 349937      32885          0.01322448    0.00000205
633052^853830 % 797479      529828         0.01803536    0.00000164
741214^386787 % 928414      546134         0.00800390    0.00000205
574880^271727 % 372366      278066         0.00571772    0.00000205
621230^653982 % 374826      22924          0.01349460    0.00000205
476790^728219 % 395732      60968          0.01509686    0.00000205
307612^203404 % 320049      157033         0.00414050    0.00000164
961448^934645 % 765329      697012         0.01967251    0.00000164
793482^210595 % 575889      454326         0.00432688    0.00000164
239489^441082 % 968191      329667         0.00917019    0.00000205
275200^324870 % 78409       9201           0.00676988    0.00000123
639649^531434 % 528491      256249         0.01140300    0.00000205
616350^876211 % 571860      40500          0.01866797    0.00000205
556318^360605 % 916845      189643         0.00747926    0.00000164
114751^474335 % 332831      87203          0.00973506    0.00000164
435573^490663 % 127992      12069          0.01037588    0.00000164
68106^494956 % 865041       528468         0.01015256    0.00000205
564990^332438 % 341258      70824          0.00710610    0.00000164
276285^237896 % 66744       59049          0.00496606    0.00000164
204131^93292 % 774768       274033         0.00191918    0.00000246
413901^823582 % 827712      731673         0.01717368    0.00000164
529697^81265 % 262335       261512         0.00173732    0.00000164
876873^834494 % 176625      102834         0.01769586    0.00000205
309827^846505 % 244352      217763         0.01744134    0.00000287
988038^268870 % 172529      96168          0.00577601    0.00000164
100421^804388 % 325254      292735         0.01682433    0.00000164
394861^230323 % 249010      163251         0.00480267    0.00000164
494526^113439 % 381403      243781         0.00235269    0.00000164
903185^681803 % 988107      603284         0.01414486    0.00000164
519972^294359 % 123369      115452         0.00624729    0.00000205
846354^370758 % 606271      289276         0.00787623    0.00000164
484726^689674 % 85393       45826          0.01439775    0.00000205
413258^591599 % 225793      144542         0.01264277    0.00000164
487805^100427 % 312567      282842         0.00220285    0.00000164
339539^995616 % 460257      84820          0.02098864    0.00000164
522308^689761 % 456355      266638         0.01457878    0.00000205
283206^838663 % 639623      569368         0.01791795    0.00000287
583745^693035 % 111566      60383          0.01464570    0.00000205
400709^922012 % 73120       6801           0.01993073    0.00000410
139512^328094 % 173435      60474          0.00701619    0.00000164
794827^961313 % 876527      703057         0.02033591    0.00000246
875116^626129 % 127813      1003           0.01326841    0.00000164
328638^852498 % 629288      236800         0.01791056    0.00000205
923346^601649 % 940812      519840         0.01294943    0.00000246
870690^151586 % 616108      442816         0.00326199    0.00000164
551057^479612 % 924972      578113         0.01032539    0.00000205
631039^660461 % 100427      37032          0.01396383    0.00000328
824096^837089 % 461358      120344         0.01756860    0.00000287
160207^708916 % 909214      223009         0.01478035    0.00000246
106955^524981 % 818715      51095          0.01105324    0.00000246
950302^184690 % 474721      248440         0.00398738    0.00000164
910072^457760 % 910803      686437         0.00973014    0.00000205
657536^675412 % 953878      913450         0.01442156    0.00000205
809626^606365 % 920714      145584         0.01284270    0.00000205
749921^310691 % 906126      478565         0.00637537    0.00000164
833295^297552 % 744578      463519         0.00622348    0.00000164
472938^620914 % 917627      207272         0.01312185    0.00000205
983898^233538 % 682023      449907         0.00489175    0.00000164
862695^136854 % 697771      536957         0.00286132    0.00000164
485971^857584 % 638115      493726         0.01794505    0.00000205
233446^197957 % 888206      330016         0.00407728    0.00000164
709874^770241 % 932401      9352           0.01670322    0.00000287
215813^616363 % 397744      307469         0.01312185    0.00000246
590443^450677 % 967352      196723         0.00943990    0.00000205
223434^453621 % 494620      185844         0.00933440    0.00000164
484453^834819 % 207207      73585          0.01754274    0.00000657
297859^471502 % 838153      59437          0.00981594    0.00000164
75945^891158 % 417915       45765          0.01893399    0.00000205
798444^121061 % 643906      413494         0.00261624    0.00000205
102648^837909 % 198657      82863          0.01766959    0.00000205
720456^755199 % 485763      178968         0.01603982    0.00000205
161713^810814 % 112169      63679          0.01698197    0.00000205
259580^942620 % 233184      176128         0.01984165    0.00000246
390484^244187 % 601397      557073         0.00504734    0.00000205
472554^98944 % 355223       179474         0.00201770    0.00000123
119180^268112 % 415832      198712         0.00550835    0.00000164
90110^108300 % 347374       110630         0.00238635    0.00000164
190299^401731 % 223755      177909         0.00834176    0.00000164
531071^639113 % 501559      315181         0.01363007    0.00000205
178308^828315 % 715739      553875         0.01726112    0.00000287
96246^244467 % 211577       48192          0.00521688    0.00000205
741262^998665 % 679254      160582         0.02130720    0.00000246
279438^408547 % 237906      198270         0.00861229    0.00000246
312408^252562 % 365493      79512          0.00540080    0.00000164
499048^930885 % 257634      172756         0.01985355    0.00000246
976122^74449 % 417234       216342         0.00159323    0.00000123
971002^465294 % 166203      49825          0.00958851    0.00000164
597177^255030 % 970501      553889         0.00565942    0.00000205
183587^510544 % 142041      18412          0.01051300    0.00000205
893688^97011 % 257518       151580         0.00201442    0.00000164
682373^991181 % 851263      145781         0.02115859    0.00000205
284659^947622 % 692787      361888         0.01952678    0.00000205
980302^157515 % 358599      58762          0.00322915    0.00000164
277206^50379 % 841821       118428         0.00102425    0.00000123
307850^547934 % 936517      300695         0.01175112    0.00000205
363460^82138 % 621658       439542         0.00171146    0.00000205
361125^682312 % 943663      813584         0.01441170    0.00000246
519120^157733 % 589828      16392          0.00340116    0.00000164
96167^772770 % 827573       110097         0.01574384    0.00000164
803318^133477 % 723845      182843         0.00288718    0.00000164
916642^394418 % 137005      79619          0.00830933    0.00000164
609418^130327 % 174600      87832          0.00262527    0.00000164
682307^206697 % 614028      546911         0.00436752    0.00000164
365594^420661 % 591976      217600         0.00896000    0.00000164
56398^844600 % 174533       96198          0.01766507    0.00000164
699743^858459 % 64591       9546           0.01816837    0.00000205
533303^84529 % 245757       202190         0.00180793    0.00000123
419609^335346 % 132993      35911          0.00682119    0.00000164
961251^734105 % 414419      175463         0.01586084    0.00000246
108747^664926 % 309474      274077         0.01387269    0.00000205
586510^757355 % 779564      668560         0.01564367    0.00000205
870150^520801 % 159544      97224          0.01106227    0.00000164
196353^112651 % 745676      294037         0.00235433    0.00000123
731937^874425 % 515713      228425         0.01862035    0.00000164
380153^938222 % 520497      128326         0.01950748    0.00000205
589580^602350 % 456219      6418           0.01281232    0.00000205
309455^271379 % 982167      598382         0.00580680    0.00000164
664391^409653 % 917095      67646          0.00884629    0.00000164
761577^510496 % 278201      104778         0.01074823    0.00000205
325795^791146 % 80859       63541          0.01679354    0.00000246
768891^879757 % 508321      372126         0.01851854    0.00000205
433438^681460 % 427408      203104         0.01415143    0.00000205
864525^809202 % 908588      29349          0.01740891    0.00000205

				    TOTAL  11.276992s    0.0023334105s
