Input X^n%m                 Result         O(n) sec     O(log n) sec 
871848^725206 % 793862      30             0.01561576    0.00000205
246805^789238 % 901870      606855         0.01668639    0.00000205
256441^178802 % 170794      24839          0.00382235    0.00000164
407286^450120 % 486886      321564         0.00940747    0.00000164
589687^110144 % 135801      121            0.00223979    0.00000164
164240^869102 % 739393      312847         0.01857396    0.00000205
511700^519350 % 116137      19453          0.01116942    0.00000205
964798^922815 % 434840      431152         0.01965034    0.00000164
287832^590750 % 562164      228936         0.01284803    0.00000164
618645^585993 % 645068      583277         0.01272447    0.00000164
891428^983489 % 494814      488108         0.02104242    0.00000164
888070^314075 % 209248      131808         0.00689057    0.00000164
987582^279486 % 518298      193092         0.00607733    0.00000205
643432^408296 % 965947      291020         0.00854620    0.00000164
833470^457068 % 922606      51788          0.00976708    0.00000164
352892^145530 % 218651      152009         0.00296436    0.00000164
241035^449748 % 189744      132657         0.00932988    0.00000205
722720^529205 % 703460      407200         0.01170309    0.00000205
224633^54159 % 357703       211797         0.00115110    0.00000246
282225^52613 % 415941       187830         0.00112441    0.00000164
732591^915336 % 714374      77791          0.01936380    0.00000246
178177^854994 % 776115      455824         0.01837568    0.00000164
627898^133680 % 319516      224092         0.00273858    0.00000164
771921^173432 % 693199      460593         0.00354320    0.00000164
555676^209189 % 310180      28896          0.00459166    0.00000123
478099^324586 % 687541      314371         0.00692465    0.00000164
442941^887195 % 465076      99121          0.01899680    0.00000246
359543^767390 % 774888      182233         0.01638876    0.00000205
904752^513293 % 657537      615009         0.01107007    0.00000246
308170^907175 % 880694      808436         0.01955346    0.00000287
101477^567494 % 695212      404093         0.01210581    0.00000205
839051^987417 % 153613      142381         0.02136098    0.00000205
375690^508377 % 863321      857950         0.01084306    0.00000205
262086^714027 % 653377      147443         0.01509973    0.00000164
403905^640219 % 496911      321747         0.01379428    0.00000164
700500^772997 % 161193      12429          0.01652136    0.00000246
353656^614668 % 783499      616400         0.01298350    0.00000164
150094^134096 % 729959      286805         0.00284736    0.00000903
950032^98999 % 494650       65268          0.00203166    0.00000164
428936^706228 % 938954      811670         0.01495851    0.00000205
532017^335584 % 448968      207273         0.00702687    0.00000164
333799^828618 % 567909      348670         0.01773198    0.00000164
544681^577605 % 848174      256833         0.01209473    0.00000164
181119^339697 % 491955      459729         0.00770956    0.00000205
308956^908107 % 189853      135375         0.01974640    0.00000205
58389^722786 % 293093       252294         0.01534974    0.00000205
347187^198258 % 542330      510509         0.00449109    0.00000205
491227^431640 % 775899      475417         0.00931346    0.00000164
223037^118755 % 730695      713873         0.00241221    0.00000164
814136^357963 % 761632      648896         0.00765291    0.00000164
192073^494964 % 869740      816421         0.01023672    0.00000205
887067^319214 % 233190      89469          0.00706340    0.00000164
151991^205021 % 833417      6313           0.00459454    0.00000164
953754^687567 % 175349      146696         0.01456359    0.00000205
603402^417772 % 58055       24311          0.00880893    0.00000205
577736^160452 % 960322      352344         0.00344015    0.00000164
468930^792191 % 747299      44982          0.01693147    0.00000205
458324^119041 % 569189      131087         0.00242987    0.00000164
950241^977469 % 120579      95337          0.02126574    0.00000246
834956^967218 % 411089      272021         0.02093938    0.00000328
213922^511178 % 225804      154780         0.01053024    0.00000164
72025^706078 % 837233       445348         0.01489119    0.00000205
551905^412223 % 585611      383808         0.00890951    0.00000205
782713^138574 % 925332      157189         0.00299679    0.00000164
177828^817175 % 979344      728352         0.01730422    0.00000205
819317^117421 % 127743      123776         0.00259120    0.00000164
310339^313115 % 954943      443178         0.00644762    0.00000164
508605^260656 % 598450      539325         0.00564588    0.00000164
773166^76843 % 274482       102600         0.00156038    0.00000123
604749^449427 % 98088       2277           0.00961355    0.00000205
813155^726681 % 356300      173075         0.01563957    0.00000205
977946^311345 % 428489      37322          0.00662168    0.00000123
78446^213228 % 537971       419693         0.00433057    0.00000164
219496^925910 % 500014      403270         0.01995823    0.00000205
593509^593228 % 364031      195195         0.01320313    0.00000246
809445^544350 % 707181      512793         0.01162510    0.00000205
983404^685466 % 725849      204349         0.01485958    0.00000205
318367^626954 % 735199      527251         0.01325609    0.00000164
148318^567010 % 659048      609584         0.01202946    0.00000205
230156^565556 % 391683      55075          0.01200360    0.00000205
668114^925192 % 310607      11236          0.01970043    0.00000205
258420^409337 % 199265      40790          0.00869563    0.00000205
202797^707210 % 303205      93744          0.01524588    0.00000205
510815^649991 % 642195      427730         0.01359354    0.00000164
178804^825532 % 147798      4708           0.01737730    0.00000205
189769^518744 % 209287      203321         0.01121827    0.00000205
696703^654504 % 84358       33157          0.01407836    0.00000164
821707^445319 % 431003      294084         0.00956511    0.00000205
340704^736899 % 549421      515575         0.01549999    0.00000205
264513^311133 % 636768      276993         0.00637291    0.00000164
775399^704884 % 624204      212809         0.01586535    0.00000328
236266^355384 % 472953      58717          0.00750553    0.00000164
205637^680054 % 369490      208399         0.01486984    0.00000205
981689^295147 % 735729      116663         0.00606543    0.00000123
413870^814672 % 638324      630788         0.01768519    0.00000205
336665^639812 % 742165      488610         0.01335749    0.00000205
314859^276932 % 430011      69768          0.00582568    0.00000164
228997^672769 % 591101      243998         0.01415349    0.00000164
824468^948188 % 535294      113578         0.02025997    0.00000205
77457^758820 % 110674       50767          0.01641011    0.00000205
748110^149765 % 546018      319506         0.00321971    0.00000123
388409^156527 % 904988      496797         0.00335518    0.00000164
249636^153757 % 888091      577672         0.00324187    0.00000205
803632^905058 % 240425      235249         0.01952267    0.00000287
666637^851018 % 288011      258298         0.01805794    0.00000205
290870^411844 % 767259      324433         0.00880442    0.00000164
826385^279035 % 990036      149897         0.00605229    0.00000164
308759^259090 % 761184      446449         0.00547428    0.00000164
97860^747470 % 816130       472990         0.01582225    0.00000246
725394^721886 % 898101      34074          0.01557511    0.00000205
382570^287635 % 669530      316970         0.00591148    0.00000164
537450^232616 % 810298      801602         0.00511302    0.00000205
825453^597589 % 669890      396193         0.01266905    0.00000205
905403^77951 % 955403       480853         0.00159035    0.00000164
135098^120979 % 723715      40122          0.00246681    0.00000164
989686^602369 % 62126       14416          0.01299623    0.00000246
332586^766056 % 741693      497166         0.01663220    0.00000164
982425^247865 % 803303      292300         0.00523659    0.00000164
737405^325701 % 308871      59858          0.00667710    0.00000164
212090^555062 % 255595      214230         0.01220393    0.00000287
944473^837655 % 167801      116117         0.01806040    0.00000328
800017^142553 % 885365      262487         0.00307356    0.00000123
912402^530753 % 396940      39732          0.01138535    0.00000205
744227^460877 % 253994      25593          0.01027038    0.00000205
946107^458112 % 661924      603297         0.00991651    0.00000205
686983^975425 % 68576       29575          0.02055184    0.00000164
722518^827128 % 851195      180036         0.01796106    0.00000205
483295^551564 % 977043      362689         0.01214605    0.00000246
997030^761487 % 152052      17764          0.01627259    0.00000287
683272^120205 % 572793      403174         0.00246969    0.00000123
201276^775627 % 818371      290310         0.01646389    0.00000246
180115^353500 % 313313      257049         0.00748336    0.00000164
467291^514314 % 921951      442072         0.01083567    0.00000205
897646^905728 % 822966      387226         0.01932275    0.00000164
212274^121694 % 746877      364839         0.00302266    0.00000205
201350^287086 % 118734      70240          0.00602355    0.00000164
350700^579245 % 694409      79910          0.01220270    0.00000246
488657^495990 % 518116      387377         0.01067269    0.00000164
742825^409158 % 855260      41525          0.00866771    0.00000205
863974^578935 % 292673      54772          0.01263333    0.00000205
232794^754591 % 412888      403328         0.01598851    0.00000205
198445^84947 % 137853       119914         0.00173280    0.00000164
101517^77734 % 563656       277961         0.00157188    0.00000164
179539^955784 % 781173      711022         0.02055308    0.00000164
428136^464568 % 168178      33292          0.01025273    0.00000205
111297^803908 % 325697      72011          0.01699633    0.00000205
961510^696748 % 398178      105556         0.01504103    0.00000246
911455^225813 % 771094      626787         0.00488806    0.00000205
423952^698838 % 126697      16680          0.01503980    0.00000164
193011^812101 % 326904      289635         0.01729314    0.00000205
701595^195050 % 884845      35585          0.00400749    0.00000164
165294^927495 % 272557      131413         0.01974394    0.00000246
467418^605324 % 655423      575473         0.01299500    0.00000205
359576^962371 % 437004      219032         0.02047302    0.00000246
487674^335831 % 295682      218196         0.00717917    0.00000205
638521^689203 % 895184      257401         0.01474094    0.00000205
176092^827765 % 155368      62040          0.01738017    0.00000246
129167^406340 % 503653      179176         0.00861476    0.00000205
578752^727474 % 90392       17192          0.01535590    0.00000164
432090^902773 % 822425      583400         0.01939993    0.00000205
850643^976725 % 436601      277551         0.02086959    0.00000205
287936^454065 % 81276       69536          0.00955813    0.00000205
355546^117340 % 100914      81016          0.00241016    0.00000164
486742^66810 % 173013       26953          0.00140357    0.00000164
998860^684978 % 384557      378008         0.01443428    0.00000205
172364^376347 % 740156      582692         0.00829701    0.00000205
289271^482922 % 402257      267162         0.00999821    0.00000205
461846^724182 % 597688      231672         0.01605378    0.00000164
379944^113315 % 543865      315304         0.00232354    0.00000164
747608^491845 % 759264      671936         0.01028762    0.00000164
98720^994098 % 857246       827878         0.02119102    0.00000205
342815^314559 % 858854      68445          0.00693450    0.00000164
875406^208216 % 655611      37503          0.00446604    0.00000246
491374^638074 % 305938      52786          0.01365594    0.00000246
225007^374161 % 722983      226874         0.00785981    0.00000205
489150^579280 % 879278      47630          0.01250402    0.00000164
232782^978709 % 76134       21402          0.02116229    0.00000205
644360^107242 % 500777      136184         0.00219464    0.00000164
864364^765956 % 283135      259676         0.01620116    0.00000164
221186^974668 % 144064      50048          0.02066515    0.00000205
845145^824870 % 446128      63857          0.01750045    0.00000205
513606^409936 % 987830      753466         0.00867264    0.00000164
773513^157506 % 774142      128363         0.00340115    0.00000164
119219^484407 % 643607      556576         0.01019526    0.00000205
734736^740171 % 184506      59364          0.01609196    0.00000205
581103^305812 % 292182      23301          0.00657981    0.00000164
681231^868194 % 710937      507951         0.01820696    0.00000164
223424^66589 % 941658       762290         0.00143477    0.00000205
610112^143418 % 639443      139147         0.00306740    0.00000205
807569^386649 % 711238      614551         0.00822681    0.00000164
110692^970614 % 952518      454336         0.02063149    0.00000246
840562^57607 % 708364       297332         0.00120323    0.00000164
105906^229184 % 578775      371421         0.00506335    0.00000205
622824^569213 % 149309      37426          0.01286487    0.00000328
436749^653361 % 323944      192773         0.01418633    0.00000246
637226^389975 % 406195      198916         0.00838938    0.00000205
881961^530140 % 370261      61149          0.01132459    0.00000205
775719^487019 % 467000      54279          0.01057991    0.00000205
435697^54017 % 989019       434308         0.00117162    0.00000164
87173^945741 % 744367       391919         0.02010602    0.00000246
744481^571751 % 284958      72163          0.01231969    0.00000205
655755^347012 % 892436      1089           0.00781588    0.00000205
526173^509394 % 297968      258809         0.01111154    0.00000205
912125^258800 % 673050      73075          0.00578217    0.00000164
574403^74227 % 845305       406817         0.00156572    0.00000164
609016^770040 % 430930      55946          0.01674099    0.00000287
811763^201559 % 418147      143450         0.00439790    0.00000164
120584^815693 % 412498      212462         0.01749676    0.00000205
644874^667895 % 885968      405392         0.01447328    0.00000205
456631^791248 % 154074      120571         0.01719831    0.00000287
530099^468191 % 901277      303348         0.00996044    0.00000164
316266^227268 % 330376      154120         0.00521524    0.00000205
248388^961512 % 982826      85710          0.02030553    0.00000205
72559^863172 % 686731       49726          0.01846928    0.00000164
969677^356511 % 138373      133567         0.00750061    0.00000205
994510^589977 % 95241       81784          0.01253563    0.00004269
142458^213281 % 466208      312288         0.00438681    0.00000164
416846^581181 % 71418       26672          0.01326882    0.00000287
204185^901270 % 411700      203025         0.01923695    0.00000205
528590^643621 % 378448      226960         0.01378402    0.00000205
749937^774966 % 647072      376097         0.01674551    0.00000164
711255^58393 % 144283       129868         0.00119051    0.00000123
132116^159937 % 424904      39824          0.00350214    0.00000164
169982^620556 % 980283      356920         0.01305576    0.00000164
331483^372610 % 750107      407929         0.00777319    0.00000205
203766^155889 % 760802      499904         0.00330633    0.00000164
399568^661972 % 506845      492271         0.01412023    0.00000246
951375^359217 % 977134      50193          0.00760898    0.00000164
576348^710298 % 717140      57664          0.01511000    0.00000246
767944^936949 % 720220      49044          0.02036465    0.00000246
310926^982769 % 265673      75916          0.02061260    0.00000205
921410^624004 % 860562      560746         0.01392647    0.00000205
384555^353208 % 910759      217153         0.00764880    0.00000205
312727^714462 % 77870       34399          0.01514653    0.00000205
945178^669944 % 771070      659496         0.01433493    0.00000205
391415^859759 % 107936      70791          0.01826115    0.00000205
